Slovenian,English
koncerte,concerts
koncerti,concerts
koncesije,concessions
koncesionarja,concessionaire
kondicijo,condition
konferenca,conference
konference,conferences
konferenčni,conference
konflikta,of conflict
kongres,Congress
konj,a horse
konkretne,concrete
konkretnimi,concrete ones
konkretno,specifically
konkurenca,competition
konkurenčen,competitive
konservativne,conservative
kontaktirati,to contact
kontaktne,contact
kontekst,context
konvencije,conventions
konèala,finished
končanem,finished
končani,finished
končnega,final
končnici,endings
končuje,finishes
koordinator,coordinator
kopališča,baths
kopanje,bathing
kopno,land
koraka,steps
koraki,steps
korakom,step by step
korekten,correct
korenin,roots
koristijo,they benefit
korita,troughs
koriščenja,usage
koronaukrepov,corona measures
koronavirusni,coronavirus
koronski,coronal
koroškega,of Carinthia
koroški,Carinthian
korupcija,corruption
korupciji,corruption
korupcijska,corruption
kosti,bones
kovin,metals
kozmetičnih,cosmetics
koè,cottage
koš,basket
koša,basket
košarkarskega,basketball
košarkarskih,basketball
krajani,locals
krajevna,local
krajina,landscape
krajine,landscape
krajino,landscape
krajše,shorter
krajšem,shorter
kralje,the king
kraljestvu,the kingdom
kraljeva,royal
kraljeve,royal
kranjskega,of Carniola
krasi,adorns
kratek,short
kravato,tie
kredite,credits
krepiti,strengthen
kri,blood
krilni,winged
kriminalist,a criminal
kristalnih,crystalline
kriterijev,criteria
kritiko,criticism
kritične,critical
kritično,critical
kritja,coverage
krive,guilty
krivega,guilty
krivice,injustice
križišču,intersection
kroji,cuts
kronometer,chronometer
krošnjami,crowns
krožek,circle
krožiti,to circulate
krožišèem,circling
krožnik,plate
kruha,bread
krvavo,bloody
krčenja,contractions
kršijo,violate
kršitvi,violations
kubičnih,cubic
kuhinjo,the kitchen
kuhinjskega,kitchen
kul,cool
kulinarični,culinary
kultura,culture
kulturi,culture
kulturna,cultural
kulturnemu,cultural
kun,Kun
kupce,buyers
kupcem,to buyers
kupila,bought
kupovati,to buy
kupujemo,we buy
kvalitetno,quality
kvečjemu,at most
kvizu,quiz
laboratorije,laboratories
ladij,ships
ladjah,ships
ladjo,the ship
lahke,easy
lahkoto,ease
lanskoletni,last year's
las,hair
laseh,hair
last,property
lastnikom,to the owners
lastniku,to the owner
lastnimi,own
lastnino,property
lastnost,property
lažja,easier
lažji,easier
lažjimi,lighter ones
lažna,fake
lažno,false
ledeniku,glacier
legah,beds
legalizacija,legalization
lege,position
legenda,a legend
legendarnega,legendary
legendarni,legendary
legionarji,legionnaires
legitimnost,legitimacy
lepoto,beauty
les,wood
lesa,wood
lesene,wooden
lesenih,wooden ones
lesom,wood
letališèe,the airport
letališče,the airport
letalnici,the airport
letalska,aviation
letalu,the plane
lete,flights
letel,flew
letenje,flying
leteti,to fly
letne,yearly
letnega,annual
letošnja,this year's
letošnjih,this year's
letošnjo,this year
levem,to the left
levice,the left
levičark,left-handed
leščurjev,of slugs
ležala,lay down
ležalo,lay down
leži,lies down
likovne,art
likovnih,art
likvidnosti,liquidity
likvidnostno,liquidity
linija,line
linije,lines
liniji,line
lipiške,Lipiška
lisico,a fox
listini,charter
listo,sheet
listu,sheet
literatura,literature
literature,literature
ljubezenske,love ones
ljubitelj,lover
ljubitelja,lover
ljubiteljem,lovers
ljubljene,loved ones
ljudskih,of the people
ljudsko,folk
loka,bow
lokacij,locations
lokala,bar
lokalna,local
lokalnim,local
loparjem,racket
lotimo,let's get started
lotiti,tackle
lov,hunting
lovil,hunted
lovorike,laurels
loèene,separated
ločene,separated
ločeno,separately
ločijo,separate
ločitvenega,divorce
luèi,the lights
luže,puddles
madridskega,of Madrid
mag,M.Sc
majhnega,a small one
majhnimi,small ones
majicah,t-shirts
majici,t-shirts
maksimum,maximum
malim,small ones
maline,raspberries
mamica,mommy
mandatar,mandatary
mandatov,mandates
manever,maneuver
manjkal,was missing
manjšin,minorities
mano,me
maratonskih,marathons
marec,March
mariborskem,Maribor
marljivo,diligently
marž,margin
mas,mass
masaža,massage
mase,masses
matere,mothers
materiala,material
materialno,materially
materialov,materials
mačka,a cat
mačke,cats
maščevanje,revenge
maščobe,fats
medicinska,medical
medicinskim,medical
medijski,media
medsebojna,mutual
medsebojne,mutual
medvedke,teddy bears
megavatov,megawatts
mehanizmov,mechanisms
mejne,borderline
menili,considered
menite,you think
menjajo,they exchange
menjav,exchange
menjava,exchange
menjave,exchanges
menjavi,exchanges
menopavzi,menopause
merili,criteria
merilu,criterion
merjenje,measurement
mesecem,a month
mesečne,monthly
mesti,cities
mestna,urban
mesu,meat
metodo,method
metropolit,metropolitan
mešani,mixed
mešanjem,mixing
meščane,townspeople
migracij,of migration
migracije,migrations
migrantske,migrant
milijarda,billion
milijardi,billion
mimoidočih,passers-by
mini,mini
minil,passed
minili,passed
minimalna,minimal
minimalne,minimal
ministrovih,of the ministers
ministrstvi,the ministry
ministrstvih,ministries
minuta,minute
mislečih,thinkers
mislila,thought
misliti,to think
mišičnih,muscular
mladega,young man
mladimi,young people
mladosti,youth
mladostnih,youthful ones
mladostnika,youth
mladostnikov,young people
mlajša,younger
mleka,milk
mleko,milk
mnenj,opinions
mnogim,to many
mnogimi,to many
množice,crowds
množične,massive
množičnih,massive
mobilnega,mobile
mobilni,mobile
mobilnosti,mobility
modele,models
modelih,models
modelov,models
modelu,model
modne,fashionable
modno,fashionable
modro,blue
modularnega,modular
mogoè,possible
mojih,mine
mojim,mine
mojstrov,masters
momenta,moment
montažni,prefabricated
morebiten,possible
moreta,they can
motilo,disturbed
motivacija,motivation
motivi,motives
motiviranost,motivation
moto,motto
motociklist,motorcyclist
motorja,engine
motorje,engines
motorjem,motor
motorjev,engines
motornih,motor
motorno,motorized
mozaik,mosaic
moèi,powers
moèni,powerful
močna,strong
močne,strong
močnega,strong
močnejše,stronger
močnejšo,stronger
moška,a man
moškemu,to a man
moškim,to men
možgane,the brain
možnem,possible
mrazu,the cold
mrgoli,blizzards
mrtev,dead
mrtva,dead
mrzlo,cold
muzejem,museums
muzeji,museums
mučil,tortured
nabave,procurement
naboja,charge
nacionalnih,national
nacizmu,Nazism
nadaljevanjem,continuation
nadaljujem,I continue
nadarjeni,talented
nadela,put on
nadgradijo,upgrade
nadgradnje,upgrades
nadlegoval,harassed
nadomestila,compensation
nadomešča,replaces
nadstropju,floor
nadzornik,supervisor
nadzorniki,supervisors
nadzornikov,supervisors
nadškof,the archbishop
nadškofu,to the archbishop
nafta,oil
naftni,petroleum
naftnih,oil
nagovoril,addressed
nagradah,awards
nahrbtnik,backpack
najavil,announced
najbližjem,the closest ones
najcenejše,the cheapest
najdaljša,the longest
najdaljše,the longest
najdaljšim,the longest
najdemo,we find
najeli,hired
najemnih,rentals
najemnikom,tenants
najemnine,rents
najemu,rental
najhitreje,the fastest
najlepših,the most beautiful
najljubša,favorite
najljubše,favorite
najljubši,favorite
najljubšo,favorite
najmlajši,the youngest
najmlajšim,to the youngest
najnevarnejše,the most dangerous
najnižjimi,the lowest
najpomembnejša,the most important
najpomembnejše,the most important
najpomembnejših,the most important
najrazličnejših,of all kinds
najstarejša,the oldest
najstarejšega,the oldest
najtežja,the most difficult
najtežjih,the most difficult
najverjetnejši,the most likely
najveèkrat,most of the time
največjega,the largest
največjem,the largest
najvišja,the highest
najširšo,the widest
nakazilo,remittance
naključij,coincidences
naklonjena,favored
naknadno,subsequently
nakupi,purchases
nakupom,purchases
nakupovalni,shopping
nakupovalnih,shopping
nalezljiv,contagious
nalivi,it pours
nalogah,tasks
naložijo,upload
naložila,uploaded
naložilo,uploaded
name,on me
nameni,purposes
namenila,intended
namenjene,intended
namestnik,deputy
nameščeni,installed
namignil,hinted
namiznega,desktop
nanesla,applied
nanizal,strung up
naokrog,around
napadalca,attacker
napadalcev,attackers
napade,attacks
napadla,attacked
napeljave,installations
napetosti,tension
napisali,wrote
napisanih,written
napol,half
napolnil,filled up
naporno,tiring
napotitev,referral
napotki,instructions
napovedane,announced
napovedati,to predict
napovedoval,predicted
napravami,devices
napredkom,progress
napredku,progress
napredovala,progressed
naproti,opposite
naprtiti,to fasten
narasla,grew up
naravne,natural
naraščajo,are increasing
naraščalo,was increasing
naraščanje,increasing
naredile,did
narekuje,dictates
narod,nation
narodu,to the nation
naroèila,orders
naročilu,order
naročju,lap
naročniki,subscribers
naselij,populate
naseljevanja,settlement
nasilju,violence
nasilnim,violent
naslednja,the following
naslednjega,the next one
naslovov,addresses
nasmehom,with a smile
nasmejan,smiling
nasprotnik,opponent
nasprotnika,opponent
nasprotovanje,opposition
nastaja,is being created
nastajali,were created
nastajanju,formation
nastanitev,accommodation
nastanku,formation
nastavi,settings
nastopajo,are performing
nastopih,performances
nastopile,performed
nastopom,performance
nasvet,advice
natančneje,more precisely
natečaj,competition
nauèimo,let's learn
naučiš,you learn
navajanje,orientation
navdušena,excited
navdušence,enthusiasts
navdušil,impressed
navdušila,impressed
navdušili,impressed
navdušuje,excites
navedenega,of the above
navesti,to state
navidezno,apparently
navijaèev,fans
navkreber,uphill
navodilo,instruction
navodilu,instruction
navzgor,upwards
naziva,title
naèrt,plan
naèrtno,deliberately
naèrtovanih,planned
naèrtujejo,they are planning
načel,principles
načela,principles
načeli,principles
načelni,principled
načeloma,in principle
načine,ways
načini,ways
načrtom,plans
načrtoval,planned
načrtovali,planned
načrtovan,planned
načrtovane,planned
načrtovanju,planning
načrtovati,to plan
načrtu,the plan
našemu,ours
našim,ours
našlo,found
neba,of the sky
nebotiènika,skyscraper
nedaleč,not far away
nedavna,recent
nedavnim,recent ones
nedelji,Sunday
nedeljske,Sunday's
nedeljskem,Sunday's
nedeljski,Sunday
nedeljskih,Sundays
nedolžnem,innocent
nedolžnosti,innocence
negativne,negative
negativnem,negative
negotov,uncertain
negotova,uncertain
negotovi,uncertain
negotovim,uncertain
negovalnih,caring
nehati,to stop
nehote,unintentionally
neka,some
nekakšen,kind of
nekakšno,sort of
nekaterim,to some
nekdanjih,former ones
nekdanjo,the former
nekem,someone
nekom,to someone
nekoè,once upon a time
nemalo,quite a bit
nemalokrat,quite a few times
nemara,he doesn't care
nemogoč,impossible
nemškem,German
nemško,German
nenamerno,unintentionally
nenavadnega,unusual
nenavadnem,unusual
nenehne,constantly
nenevarne,non-dangerous
nenujnih,non-urgent
nenujnimi,non-urgent ones
neodgovorno,irresponsible
neodločen,undecided
neodvisno,independently
neopazno,imperceptibly
nepogrešljivi,indispensable
nepopustljiv,unyielding
neposreden,direct
neposredna,direct
neposrednem,direct
neposredni,direct
neposrednim,direct
nepotrebnem,unnecessary
nepotrebnim,unnecessary
nepovratnimi,irreversible
nepravilnostih,irregularities
neprecenljivo,priceless
nepregleden,impenetrable
neprilagojene,maladjusted
neprimeren,inappropriate
neprimernih,inappropriate
nepričakovan,unexpected
nerazumljivo,incomprehensible
neredne,irregular
nervozen,nervous
neslavno,infamous
nesposobnost,incompetence
nespretno,clumsily
nesrečne,unhappy
nesrečni,unhappy
nesrečo,an accident
nestrinjanja,disagreements
neto,net
netransparentnosti,lack of transparency
neubranljivo,indefensible
neupoštevanja,disregard
neupoštevanje,disregard
neuradne,unofficial
neuspeh,a failure
neuspešna,unsuccessful
neuspešnih,unsuccessful ones
neutemeljene,unfounded
nevarne,dangerous
nevarnih,dangerous
neverjetna,incredible
neverjetno,unbelievable
nevladnih,non-governmental
nevladnim,NGOs
nevtralnost,neutrality
nezadostno,insufficient
nezakonita,illegal
nezakonitih,illegal
neznane,unknown
nečak,nephew
nečakinja,niece
nežno,gently
nikdar,never
nikjer,nowhere
nimata,they don't have
nivo,level
nizka,low
nizko,low
nizozemske,Dutch
nizozemskega,Dutch
nizozemski,Dutch
nižjih,lower ones
njenimi,hers
njihovemu,theirs
njunem,to them
njunima,to them
nm,n.m
nobeden,none
nobenemu,to none
nobeni,none
nobenim,to none
nocoj,tonight
nogi,legs
nogometašem,football players
nogometnem,football
nogometnemu,football
nogometno,football
nor,crazy
normalizacijo,normalization
normalna,normal
normalnim,normal
normalnost,normality
normalnosti,normality
norveškem,Norwegian
norveški,Norwegian
nosečnice,pregnant women
nosečnosti,pregnancy
nosil,carried
nosilce,carriers
nosilec,carrier
nosimo,we carry
nosita,wear
nosite,wear
noto,note
notranjem,internal
notranjih,internal ones
novela,novella
novico,the news
novinarke,journalists
novinarskem,journalistic
novinarstvom,journalism
novoletne,New Year's
novomeške,Novo Mesto
novozapadlega,the new westerner
noènem,nocturnal
noče,he doesn't want to
nočnem,nocturnal
nočni,nocturnal
noži,knives
nujnost,necessity
oaza,an oasis
obalne,coastal
obdolžilni,accusatory
obdržal,kept
obdukcije,autopsies
obema,to both of them
obetal,promised
obiskane,visited
obiske,visits
obiski,visits
obiskovalcem,visitors
obiskovati,to visit
obièajnih,ordinary ones
običajev,customs
običajnega,usual
običajnih,ordinary ones
obišèe,will visit
objavljal,published
objavljeni,published
objekt,facility
objektih,objects
objektiv,lens
objektivno,objectively
oblaèila,clothes
oblačnostjo,cloudiness
obleka,dress
obleke,clothes
obleko,dress
obletnice,anniversaries
oblečeni,dressed up
oblikah,forms
oblikoval,designed
oblikovanja,design
obljubila,promised
obljubljajo,they promise
obmoèij,areas
obmoèja,areas
obmoèje,area
območjem,areas
obnašajo,behave
obnašali,behaved
obnašanje,behavior
obnovi,restore
oboleli,sick
obolelim,I get sick
obrambne,defensive
obrambnem,defensive
obratov,plants
obratovanje,operation
obratuje,operates
obravnava,treatment
obravnavani,considered
obrazec,form
obrazi,faces
obrazne,facial
obrazov,faces
obračuna,billing
obračune,calculations
obreda,ceremony
obremenjeni,burdened
obremenjujejo,burden
obrne,turns
obrnil,turned
obročem,ring
obsegajo,comprise
obsežna,extensive
obsežne,extensive
obsodila,condemned
obsoditi,to condemn
obsojali,condemned
obstajata,they exist
obstanek,stay
obstoj,existence
obstoječi,existing
obstoječim,existing ones
obtičali,stuck
obtožb,accusations
obtoženih,accused
obtožilo,accusation
obtožnica,indictment
obtožujejo,accuse
obupati,to give up
obvezna,mandatory
obvezne,mandatory
obvezni,mandatory
obvešèeni,informed
obveščeni,informed
obveščevalne,intelligence
obveščevalni,intelligence
obvladovanja,mastery
obvoz,detour
obèanov,citizens
obèinah,communities
obèino,the public
obèutek,education
občinskega,municipal
občinskih,municipal
občinskimi,municipal ones
občuti,feel
občutili,felt
občutja,feels
občutka,feeling
občutljiv,sensitive
občutljiva,sensitive
občutljive,sensitive
občutljivih,sensitive
obšla,bypassed
obžaluje,he regrets
oceana,the ocean
ocenilo,assessed
ocenjena,evaluated
ocenjeni,evaluated
ocenjeno,evaluated
odbojkarji,volleyball players
odbojkarske,volleyball
odbojki,volleyball
oddahnila,breathed a sigh of relief
oddajajo,broadcast
oddajanje,broadcasting
oddali,submitted
oddaljen,distant
oddaljene,distant
oddaljeni,distant
odgovarja,he answers
odgovori,answers
odgovorne,responsible
odgovorov,answers
odgovoru,to the answer
odhajajo,they are leaving
odhajati,to leave
odigrala,played
oditi,to leave
odklonil,declined
odkrila,discovered
odkrite,discovered
odkriti,discover
odkritih,discovered
odkritja,discoveries
odkritje,discovery
odkrito,openly
odkupila,redeemed
odkupili,redeemed
odletela,flew away
odlièno,excellent
odlične,excellent
odličnosti,excellence
odlokom,decree
odloèila,decisions
odloèilo,the decision
odločala,decided
odločalo,decided
odločam,I decide
odločanju,decision-making
odločati,to decide
odločbo,the decision
odločen,determined
odločilo,decided
odločimo,let's decide
odločnost,determination
odložijo,postpone
odmerke,doses
odmeva,reverberates
odmevna,resounding
odnesejo,they take away
odobrene,approved
odobritve,approvals
odpadka,waste
odpadki,waste
odpadli,dropped out
odpadne,falls away
odpadnih,waste
odpeljalo,drove away
odpelje,takes away
odpiranju,opening
odpor,resistance
odporna,resistant
odpornost,resilience
odpovedan,cancelled
odpovedjo,resignation
odpravila,eliminated
odpravimo,let's eliminate it
odpravljali,eliminated
odpravljene,eliminated
odpravljeni,eliminated
odprejo,they open
odpreti,to open
odprlo,opened
odprt,open
odprtim,open
odprtjem,opening
odpuščanj,dismissals
odpuščanja,forgiveness
odrasla,adult
odredbi,orders
odrejeno,ordered
odrinil,pushed away
odseka,section
odsluženih,served
odsoten,absent
odstopi,resign
odstopili,resigned
odstopom,resignation
odstotki,percentages
odstotkih,percentages
odstotkoma,two percent
odstranil,removed
odstranili,removed
odtlej,since then
odvažajo,are taking away
odvijajo,unfold
odvisnosti,dependencies
odvoz,take away
odvrnil,retorted
odzivov,responses
odzove,responds
odzovemo,we respond
odškodnino,compensation
odškodninske,compensation
odštel,subtracted
odšteti,deduct
odžirajo,they eat away
oglasov,ads
oglasu,advertisement
ogledov,tours
ogledu,viewing
ogljično,carbonaceous
ognja,of fire
ogorčenja,outrage
ograjo,the fence
ogrejemo,warm up
ogrevanju,heating
ogrodje,framework
ogrozi,threatens
ogroženosti,threats
ohranil,preserved
ohranila,preserved
ohranili,preserved
ohranjanje,conservation
oknih,windows
okolico,surroundings
okoliških,surrounding
okolišèinah,circumstances
okoliščin,circumstances
okoljska,environmental
okrasili,decorated
okrepil,strengthened
okrepila,strengthened
okrevalo,recovered
okrevanjem,recovery
oktobrom,October
okus,taste
okusi,tastes
okužena,infected
okuženo,infected
okvar,failure
okvare,malfunctions
olajšalo,made it easier
olajšanje,relief
olja,oil
olju,oil
omejenem,limited
omejevanju,restriction
omejevati,to limit
omejila,limited
omejitvah,restrictions
omejitvami,restrictions
omejujejo,they limit
omembi,mention
omeni,mention
omeniti,to mention
omenjati,to mention
omenjena,mentioned
omizja,desks
omogoèala,enabled
omogoèila,enabled
omogočal,enabled
omogočala,enabled
omogočijo,enable
omogočila,enabled
omogočilo,enabled
onemogočeno,disabled
opazijo,they notice
opazila,noticed
opazovala,observed
opazovali,observed
opazovanja,observations
opazovati,to observe
opazuje,is watching
opazujte,observe
operacije,operations
operaciji,operation
operaterjev,operators
operativec,operative
operativne,operational
operativni,operative
opice,monkeys
opisa,description
opisujejo,they describe
opoldne,at noon
opomnil,reminded
oporišče,base
opozarjali,warned
opozarjamo,we warn
opozori,warn
opozorijo,warn
opravka,errand
opravkih,errands
opravljali,performed
opravljalo,performed
opravljanju,performance
opravljen,done
opravljenih,completed
opredeljenih,defined
oprema,equipment
opremljene,equipped
oprli,covered
optimističen,optimistic
optimizmu,optimism
opustil,abandoned
opustili,abandoned
oranžno,orange
ordinacije,doctor's office
organizacijske,organizational
organizator,organizer
organizatorja,organizer
organizatorjem,organizers
organizira,organizes
organiziral,organized
organizirale,organized
organiziralo,organized
organiziran,organized
organizirani,organized
organizma,organism
organskih,organic
originalno,original
orkester,orchestra
osamljen,lonely
osebjem,staff
osebnim,personal
osebnosti,personalities
osemdeset,eighty
oskrba,supply
oskrbe,care
osmine,eighth
osnova,base
osnovnim,basic
osnovnošolci,elementary school students
osnovo,basis
osredju,center
osrednja,the central one
osredotočeni,focused
osredotočila,concentrated
osredotočiti,focus
ostajata,they remain
ostajati,to stay
ostanemo,we stay
oster,sharp
ostra,sharp
ostrejše,sharper
ostrejši,sharper
osumljena,suspected
osvojitev,conquest
otoka,of the island
otoke,islands
otoki,islands
otroku,to the child
otroški,children's
ovac,sheep
ovadbo,complaint
ovratnica,collar
ozadju,in the background
ozdravitve,healing
oznako,mark
označen,marked
označila,marked
označuje,denotes
ozračja,the atmosphere
ozračje,atmosphere
ozračju,atmosphere
oèeta,father's
oèi,eyes
očeh,eye
očetom,fathers
očisti,clean up
očitala,reproaches
očitkom,reproaches
očitkov,complaints
očitna,obvious
ožja,narrower
ožje,narrower
ožjo,narrower
pacient,the patient
pacientom,patients
padavine,precipitation
padca,falls
padcev,falls
pade,falls
padli,fell down
pahnili,fell down
palca,inch
pandemičnih,pandemic
panika,panic
paniko,panic
panogah,industries
panoje,billboards
papeža,the pope
papir,paper
papirjev,papers
pariškega,Parisian
parkirišču,parking lot
parlamentarnih,parliamentary
parlamentom,parliaments
partnerju,partner
partnerski,partnership
paru,couple
paziti,watch out
pedagogi,pedagogues
pedagogov,pedagogues
pedale,pedals
pege,freckles
pekli,hell
peko,baking
peljali,drove
pepelom,ashes
perspektivo,perspective
pesek,sand
pester,variegated
pestijo,pestilence
pet,Friday
petami,heels
petdesetih,fifties
petem,the fifth
petim,fifth
petino,a fifth
petja,singing
petje,singing
petnajstih,fifteen
petnajstkrat,fifteen times
peto,fifth
pevci,singers
pevk,a singer
pevskih,singing
pečico,the oven
peščice,handfuls
piha,it blows
piknikov,picnics
piko,full stop
pili,drank
pilot,the pilot
pisateljice,writers
pisati,to write
pismom,by letter
pismonoša,letter carrier
pitjem,by drinking
piva,beer
pišejo,they write
piškote,cookies
planino,mountain
planinske,mountainous
plastične,plastic
plastični,plastic
plastjo,layer
platforma,platform
platno,canvas
plavala,swam
plavanja,swimming
plavanje,swimming
plaz,avalanche
plaèali,paid
plaèilo,payment
plaèo,salary
plača,salary
plačali,paid
plačan,paid
plačevanja,payments
plačevati,to pay
plačnega,salary
plačo,salary
plaža,the beach
plaže,beaches
plebiscitu,plebiscite
plenarni,plenary
plesa,dance
plevel,weeds
plevela,weeds
plezati,to climb
pljuča,lungs
pljučnice,pneumonia
ploha,a shower
plovilo,vessel
plošč,plates
plošča,plate
ploščah,plates
ploščice,tiles
pobegnili,escaped
pobočju,slope
pobrala,picked up
pobrali,picked up
pobudnica,petitioner
poceni,cheap
poda,gives
podaja,pass
podajanje,passing
podajati,to pass
podaje,passes
podaljša,extend
podaljšani,extended
podaljšanja,extensions
podaljšuje,extends
podaril,donated
podati,to give
podeli,grant
podelilo,granted
podelitev,awarding
podhranjene,malnourished
podjetnik,an entrepreneur
podjetniki,entrepreneurs
podkupnine,bribes
podlegli,succumbed
podnebnih,climatic
podpis,signature
podpisane,signed
podpisuje,signs
podplata,sole
podpredsednik,vice president
podprejo,they support
podprl,supported
podre,fall down
podrediti,to subdue
podrli,knocked down
podrobnejša,more detailed
področjem,areas
področji,areas
podrta,knocked down
podružnici,branches
podvojitev,doubling
pogaja,negotiations
pogasiti,put out
poginila,died
poglavitna,the main one
pogleda,looks
pogledati,to look
pogledi,views
pognala,ran
pognali,run
pogodbenih,contractual
pogodu,the weather
pogojen,conditional
pogon,drive
pogonskih,drive
pogovarja,he talks
pogovarjati,to talk
pogovoriti,to talk
pogreb,funeral
pogrešajo,they miss
pogrešal,missed
pogruntavščino,Basic language
pogumno,bravely
pogumom,courage
pohodniki,hikers
pohodnikov,hikers
pohval,praise
poimenoval,named
poimenovanje,designation
poiskala,searched for
pojasnilom,explanations
pojasniti,explain
pojasnjeval,explained
pojavijo,appear
pojavita,appear
pojavlja,appears
pojem,I sing
pojemo,we sing
pojesti,to eat
pojmovanje,conception
pokalni,cups
pokažejo,they show
pokažemo,we show
poklica,profession
poklicani,summoned
poklice,occupations
poklicni,professional
poklicno,professionally
poklicu,profession
pokliče,calls
pokličejo,they call
poklonil,paid tribute
poklonili,paid tribute
pokojnim,to the deceased
pokojnin,pensions
pokopališč,cemeteries
pokrajini,the landscape
pokrajino,landscape
pokupili,bought up
poletom,in summer
polfinale,semi-final
polica,shelf
policist,a policeman
poligon,polygon
političnem,political
polje,field
poljski,Polish
poljsko,Polish
polju,field
poljubom,a kiss
polletju,half a year
polne,full
polnega,full
polnih,full
polnjenjem,charging
položila,laid down
polčasa,half time
pomagale,helped
pomagalo,helped
pomagat,to help
pomakniti,move
pomembnem,important
pomenljiv,meaningful
pomenu,meaning
pomeril,measured
pomerila,measured
pomirimo,let's calm down
pomisleki,concerns
pomislekom,concerns
pomisli,think
pomislili,thought
pomladnih,spring ones
pomnijo,they remember
pomorskega,maritime
pomotoma,by mistake
pomoèjo,help
pomočnica,assistant
pomočnika,assistant
ponavlja,repeats
ponavljali,repeated
ponedeljkove,Monday's
ponj,Mr
ponos,pride
ponosna,proud
ponosom,with pride
ponovijo,they repeat
ponovili,repeated
ponovim,I repeat
ponovnih,again
ponovnim,again
ponudbi,offers
ponudi,offers
ponudijo,they offer
ponuditi,to offer
ponudnik,provider
ponudniki,providers
ponudniku,provider
ponujal,offered
ponujamo,we offer
pooblastil,authorized
pooblastili,authorized
pooblastilo,authorization
pooblaščena,authorized
poostren,tightened
poostreno,intensified
pop,pop
popačeno,distorted
popeljala,led
popestrila,brightened up
poplav,floods
poplačilo,repayment
popoldanskem,in the afternoon
popoldanski,in the afternoon
popolni,perfect
popotnico,travel card
popotnik,a traveler
popravil,repaired
popraviti,to fix
poprej,earlier
populaciji,to the population
popularen,popular
popust,discount
popusta,discounts
porabijo,they spend
porabil,spent
porabiti,spend
poravnavo,settlement
porekla,origin
porinemo,let's push
porodnišnici,maternity hospital
porodu,childbirth
porok,guarantor
poročale,reported
poročanje,reporting
poroštva,sureties
portugalski,Portuguese
posadke,the crew
posameznikom,individuals
posamično,individually
posega,intervention
posegom,intervention
poskočilo,jumped up
poskusa,of the attempt
poskuse,attempts
poskušajte,try it
poskušala,tried
poskušam,I'm trying
posla,business
poslabša,worsens
poslabšal,worsened
poslance,deputies
poslanec,Member of Parliament
poslanski,deputy
posli,business
poslopje,building
poslovanju,business
poslovijo,they say goodbye
poslovne,business
poslovnem,business
poslovodstva,management
poslu,business
poslušati,to listen
posnet,recorded
posnetke,recordings
posnetki,recordings
posnetkih,recordings
posodobiti,to update
posojilo,loan
pospešilo,accelerated
pospremil,escorted
pospremili,accompanied
posredno,indirectly
posredovala,intervened
posredovanju,intervention
post,fast
postaj,stations
postajalo,the station
postaji,station
postavimo,let's put
postavitve,layouts
postavitvi,layout
postavitvijo,layout
postavka,item
postavljajo,they set
postavljamo,we are setting
postavljena,placed
postavljeni,placed
postavljenim,placed
posteljo,the bed
postregel,served
posvetu,consultation
posvečen,consecrated
potapljati,to dive
potekel,expired
potemtakem,therefore
potencialnih,potential
poteče,expires
potisnjen,pushed
potoval,traveled
potovanji,trips
potrdi,confirm
potrdijo,confirm
potrditev,confirmation
potreba,the need
potrebo,need
potrebovala,needed
potres,an earthquake
potresa,earthquakes
potresno,earthquake
potrjenega,confirmed
potrjeni,confirmed
potrjenimi,confirmed
potrjuje,confirms
potrošniki,consumers
potrošnikom,consumers
poudari,emphasizes
poudarim,I emphasize
poudarjal,emphasized
poudarjali,emphasized
povabil,invitations
povedano,said
poveljnika,commander
poveljnikom,commanders
povezav,connections
povezovanje,connection
povezujejo,they connect
poveèanja,increases
povečati,increase
povečevalo,magnifier
povečevanje,increasing
povišana,elevated
povprečja,averages
povprečje,the average
povprečni,average
povratek,return
povratku,return
površine,surfaces
povzeli,sum up
povzeti,to summarize
pozabila,forgot
pozabiti,to forget
pozdravili,greeted
pozirali,posed
pozitivnem,positive
pozitivnimi,positive ones
pozivali,urged
pozivamo,we urge
pozivi,prompts
pozivu,prompt
poznavanje,familiarity
poznega,late
pozoren,attentive
poèasi,slowly
poènemo,let's start
poèutijo,they feel
počakala,waited
počasen,slow
početi,to do
početje,doing
poči,burst
počitnicah,holidays
počutijo,they feel
počutila,felt
počutili,felt
počutite,you feel
počutiti,to feel
pošilja,is sending
pošiljati,send
pošiljke,shipments
poškodbah,injuries
poškodbami,injuries
poškodoval,damaged
poškodovan,injured
poškodovana,damaged
pošlje,sends
poštnih,postal
pošto,mail
požarih,fires
prakso,practice
praktièen,practical
praktièno,practical
pravih,real ones
pravili,the rules
pravilnem,the correct one
pravilnih,correct ones
pravita,they say
pravkar,just now
pravljico,a fairy tale
pravna,legal
pravnega,legal
pravnemu,legal
pravnih,legal
pravnikov,lawyers
praznikov,holidays
prazno,empty
praznoval,celebrated
praznovala,celebrated
praznovanje,celebration
praznovati,to celebrate
pražimo,roast
prebila,broke through
prebolel,got over it
prebrodili,got through
prebudi,wake up
prebuja,wakes up
precejšnje,considerable
precejšnjem,considerable
precepljenosti,vaccinations
predavanj,lectures
predavatelj,lecturer
predela,regions
predelih,areas
predelov,areas
predelu,area
predhodnika,predecessor
predhodniki,predecessors
